id,course_id,student_id
1,24915,1
2,39093,1
3,79805,1
4,23728,1
5,83994,1
6,24913,2
7,39093,2
8,79805,2
9,23728,2
10,83994,2
11,83994,3
12,24913,3
13,24915,3
14,35827,3
15,23728,3
16,35827,4
17,24913,4
18,24915,4
19,83994,4
20,79805,4
21,24913,5
22,23728,5
23,39093,5
24,24915,5
25,83994,5
26,83994,6
27,23728,6
28,24915,6
29,79805,6
30,24913,6
31,24913,7
32,83994,7
33,79805,7
34,24915,7
35,23728,7
36,24913,8
37,39093,8
38,83994,8
39,23728,8
40,79805,8
41,23728,9
42,24915,9
43,24913,9
44,79805,9
45,35827,9
46,79805,10
47,24913,10
48,83994,10
49,24915,10
50,23728,10
51,35827,11
52,39093,11
53,24915,11
54,23728,11
55,83994,11
56,83994,12
57,24915,12
58,24913,12
59,35827,12
60,23728,12
61,35827,13
62,79805,13
63,39093,13
64,24913,13
65,83994,13
66,39093,14
67,24913,14
68,35827,14
69,23728,14
70,79805,14
71,24913,15
72,79805,15
73,39093,15
74,24915,15
75,23728,15
76,23728,16
77,39093,16
78,79805,16
79,83994,16
80,24915,16
81,24913,17
82,24915,17
83,35827,17
84,23728,17
85,39093,17
86,23728,18
87,79805,18
88,35827,18
89,24915,18
90,39093,18
91,24915,19
92,35827,19
93,83994,19
94,23728,19
95,24913,19
96,83994,20
97,39093,20
98,35827,20
99,79805,20
100,24913,20
101,35827,21
102,39093,21
103,24913,21
104,83994,21
105,24915,21
106,39093,22
107,79805,22
108,24913,22
109,23728,22
110,24915,22
111,23728,23
112,35827,23
113,39093,23
114,79805,23
115,24913,23
116,23728,24
117,83994,24
118,35827,24
119,79805,24
120,39093,24
121,35827,25
122,83994,25
123,24915,25
124,24913,25
125,23728,25
126,24915,26
127,35827,26
128,83994,26
129,24913,26
130,79805,26
131,79805,27
132,39093,27
133,24913,27
134,35827,27
135,23728,27
136,23728,28
137,83994,28
138,79805,28
139,24913,28
140,39093,28
141,39093,29
142,35827,29
143,23728,29
144,79805,29
145,24913,29
146,24915,30
147,23728,30
148,35827,30
149,24913,30
150,39093,30
151,24913,31
152,83994,31
153,79805,31
154,35827,31
155,39093,31
156,24913,32
157,35827,32
158,83994,32
159,79805,32
160,39093,32
161,23728,33
162,35827,33
163,39093,33
164,79805,33
165,24913,33
166,39093,34
167,23728,34
168,79805,34
169,24915,34
170,83994,34
171,23728,35
172,79805,35
173,24913,35
174,83994,35
175,39093,35
176,83994,36
177,24913,36
178,23728,36
179,39093,36
180,79805,36
181,39093,37
182,35827,37
183,23728,37
184,79805,37
185,24913,37
