id,course_id,skill_id
1,35827,5
2,35827,6
3,35827,11
4,23728,8
5,23728,13
6,83994,5
7,83994,8
8,83994,11
9,39093,2
10,39093,4
11,39093,11
12,39093,16
13,39093,20
14,24915,2
15,24915,13
16,24915,22
17,24915,28
18,24915,29
19,79805,2
20,79805,28
21,24913,2
22,24913,11
23,24913,13
24,24913,22
25,80777,2
26,80777,18
27,80777,22
28,80777,29
29,41198,4
30,41198,10
31,41198,11
32,41198,16
33,22889,34
34,32991,14
35,32991,24
36,32991,25
37,32991,31
38,32991,33
39,82453,7
40,82453,11
41,82453,27
42,82453,32
43,84637,5
44,84637,6
45,84637,14
46,84637,30
47,38762,1
48,38762,3
49,38762,9
50,38762,23
51,83887,17
52,83887,20
53,83887,25
54,83887,28
55,83887,34
56,49373,18
57,49373,23
58,38681,1
59,38681,4
60,38681,12
61,38681,16
62,38681,34
63,61627,8
64,61627,9
65,61627,12
66,61627,14
67,61627,15
68,61627,20
69,61627,28
70,61627,33
71,96486,7
72,96486,12
73,96486,27
74,96486,28
75,96486,31
76,96486,32
77,30364,4
78,30364,10
79,30364,16
80,30364,23
81,30364,26
82,30364,31
83,30364,35
84,53855,6
85,53855,9
86,53855,15
87,53855,30
88,25508,1
89,25508,6
90,25508,7
91,25508,8
92,25508,10
93,25508,12
94,25508,20
95,25508,22
96,56263,7
97,56263,15
98,56263,17
99,56263,26
100,56263,27
101,68511,1
102,68511,8
103,68511,10
104,68511,11
105,68511,20
106,68511,23
107,68511,29
108,58410,2
109,58410,17
110,58410,22
111,58410,27
112,58410,33
113,37583,6
114,37583,7
115,37583,15
116,37583,22
117,37583,24
118,37583,25
119,37583,27
120,37583,35
121,81340,18
122,81340,19
123,81340,20
124,81340,25
125,65856,4
126,65856,8
127,65856,28
128,65856,33
129,84487,14
130,84487,16
131,84487,18
132,84487,28
133,84487,30
134,84487,31
135,84487,32
