id,year,semester
1,2010,Fall
2,2010,Spring
3,2010,Summer
4,2010,Winter
5,2011,Fall
6,2011,Spring
7,2011,Summer
8,2011,Winter
9,2012,Fall
10,2012,Spring
11,2012,Summer
12,2012,Winter
13,2013,Fall
14,2013,Spring
15,2013,Summer
16,2013,Winter
17,2014,Fall
18,2014,Spring
19,2014,Summer
20,2014,Winter
21,2015,Fall
22,2015,Spring
23,2015,Summer
24,2015,Winter
25,2016,Fall
26,2016,Spring
27,2016,Summer
28,2016,Winter
29,2017,Fall
30,2017,Spring
31,2017,Summer
32,2017,Winter
33,2018,Fall
34,2018,Spring
35,2018,Summer
36,2018,Winter
37,2019,Fall
38,2019,Spring
39,2019,Summer
40,2019,Winter
